Architecture,HiddenLayers,ParameterCount,Repeat,Accuracy,MacroPrecision,MacroRecall,MacroF1,MacroSpecificity,MeanFAR,MeanFRR,MeanEER,MeanAUC,TrainingSamples
H12,12,1714,1,0.9625,0.968888888888889,0.9625,0.963006535947712,0.995833333333333,0.00416666666666667,0.0375,0.00347222222222222,0.998958333333333,280
H12,12,1714,2,1,1,1,1,1,0,0,0,1,280
H12,12,1714,3,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.00208333333333333,0.999479166666667,280
H12,12,1714,4,0.9625,0.966666666666667,0.9625,0.96140056022409,0.995833333333333,0.00416666666666667,0.0375,0.00208333333333333,0.999305555555556,280
H12,12,1714,5,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.00138888888888889,0.999652777777778,280
H24,24,3418,1,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.00347222222222222,0.999131944444444,280
H24,24,3418,2,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1,280
H24,24,3418,3,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.000694444444444444,0.999826388888889,280
H24,24,3418,4,0.95,0.954166666666667,0.95,0.950637254901961,0.994444444444444,0.00555555555555555,0.05,0.00486111111111111,0.998090277777778,280
H24,24,3418,5,0.975,0.976388888888889,0.975,0.974950980392157,0.997222222222222,0.00277777777777778,0.025,0.00138888888888889,0.999479166666666,280
H48,48,6826,1,0.975,0.98,0.975,0.975555555555556,0.997222222222222,0.00277777777777778,0.025,0.00208333333333333,0.999479166666667,280
H48,48,6826,2,1,1,1,1,1,0,0,0,1,280
H48,48,6826,3,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.000694444444444444,0.999826388888889,280
H48,48,6826,4,0.9625,0.962103174603175,0.9625,0.961617647058823,0.995833333333333,0.00416666666666667,0.0375,0.00138888888888889,0.999479166666667,280
H48,48,6826,5,0.9625,0.966666666666667,0.9625,0.96140056022409,0.995833333333333,0.00416666666666667,0.0375,0.00138888888888889,0.999479166666666,280
H72,72,10234,1,0.9625,0.968888888888889,0.9625,0.963006535947712,0.995833333333333,0.00416666666666667,0.0375,0.00208333333333333,0.999479166666667,280
H72,72,10234,2,1,1,1,1,1,0,0,0,1,280
H72,72,10234,3,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.000694444444444444,0.999826388888889,280
H72,72,10234,4,0.975,0.977777777777778,0.975,0.973949579831933,0.997222222222222,0.00277777777777778,0.025,0.00208333333333333,0.999305555555555,280
H72,72,10234,5,0.9625,0.966666666666667,0.9625,0.96140056022409,0.995833333333333,0.00416666666666667,0.0375,0.00138888888888889,0.999479166666666,280
H48_24,48-24,7762,1,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.00347222222222222,0.999131944444444,280
H48_24,48-24,7762,2,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1,280
H48_24,48-24,7762,3,0.975,0.98,0.975,0.975555555555556,0.997222222222222,0.00277777777777778,0.025,0,1,280
H48_24,48-24,7762,4,0.9625,0.9625,0.9625,0.9625,0.995833333333333,0.00416666666666667,0.0375,0.0152777777777778,0.996875,280
H48_24,48-24,7762,5,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.000694444444444444,0.999826388888889,280
H64_32,64-32,10858,1,0.95,0.957777777777778,0.95,0.950457516339869,0.994444444444444,0.00555555555555555,0.05,0.00208333333333333,0.999479166666667,280
H64_32,64-32,10858,2,1,1,1,1,1,0,0,0,1,280
H64_32,64-32,10858,3,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1,280
H64_32,64-32,10858,4,0.9625,0.963492063492063,0.9625,0.96156862745098,0.995833333333333,0.00416666666666667,0.0375,0.00347222222222222,0.9984375,280
H64_32,64-32,10858,5,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.000694444444444444,0.999826388888889,280
