Domain,Repeat,Accuracy,MacroPrecision,MacroRecall,MacroF1,MacroSpecificity,MeanFAR,MeanFRR,MeanEER,MeanAUC
FreqD,1,0.9125,0.913095238095238,0.9125,0.911470588235294,0.990277777777778,0.00972222222222222,0.0875,0.0173611111111111,0.993229166666667
FreqD,2,0.9,0.911388888888889,0.9,0.897032787473964,0.988888888888889,0.0111111111111111,0.1,0.0180555555555556,0.994618055555555
FreqD,3,0.9375,0.938888888888889,0.9375,0.936134453781513,0.993055555555556,0.00694444444444444,0.0625,0.025,0.988715277777778
FreqD,4,0.95,0.961616161616162,0.95,0.948584583631023,0.994444444444444,0.00555555555555555,0.05,0.0145833333333333,0.992881944444444
FreqD,5,0.9375,0.948888888888889,0.9375,0.931895424836601,0.993055555555556,0.00694444444444444,0.0625,0.0111111111111111,0.998784722222222
TimeD,1,0.975,0.98,0.975,0.975555555555556,0.997222222222222,0.00277777777777778,0.025,0.00416666666666667,0.998958333333333
TimeD,2,1,1,1,1,1,0,0,0,1
TimeD,3,1,1,1,1,1,0,0,0,1
TimeD,4,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.000694444444444444,0.999826388888889
TimeD,5,0.9625,0.962103174603175,0.9625,0.961617647058824,0.995833333333333,0.00416666666666667,0.0375,0.00416666666666667,0.998784722222222
TimeD_FreqD,1,1,1,1,1,1,0,0,0,1
TimeD_FreqD,2,1,1,1,1,1,0,0,0,1
TimeD_FreqD,3,1,1,1,1,1,0,0,0,1
TimeD_FreqD,4,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1
TimeD_FreqD,5,0.9625,0.965277777777778,0.9625,0.962401960784314,0.995833333333333,0.00416666666666667,0.0375,0.00208333333333333,0.999479166666667
