Feature,Mean,Median,StandardDeviation,Variance,Minimum,Maximum,Range
1,0.00796008643062492,0.00770863609160235,0.00160487361085247,2.57561930681066e-06,0.00504945359576664,0.0144535297651708,0.00940407616940418
2,0.21635159197748,0.186550083708305,0.162958084046318,0.0265553371560469,-0.111818019892993,0.919288519936811,1.0311065398298
3,0.0634836079210155,0.063074639429924,0.00374736766247192,1.40427643977403e-05,0.0560526714740769,0.0724409897888537,0.0163883183147768
4,0.995593659887445,0.988478098013119,0.0592857641308828,0.00351480182858267,0.852710330226193,1.14188864460469,0.289178314378495
5,0.000450575303688606,0.000349220054780386,0.000402988510366596,1.62399739487488e-07,2.74842954417487e-06,0.00246533576487418,0.00246258733533
6,0.0630882454666245,0.0625790092766537,0.00370853370095802,1.37532222111414e-05,0.0549252432448942,0.0721014657162279,0.0171762224713338
7,0.00399384173487318,0.00391613247510835,0.000472302417553074,2.23069573626478e-07,0.00301678234551079,0.00519862135842839,0.0021818390129176
8,0.000736725110608868,0.000605421295044928,0.00060929401378281,3.71239195231567e-07,1.12595398242611e-05,0.00352433138619778,0.00351307184637352
9,0.0117865079004597,0.0116968679746981,0.00183136759573809,3.35390727071952e-06,0.0085814393813528,0.0187863732928562,0.0102049339115034
10,0.995143084583757,0.988283543594936,0.0593150072263072,0.00351827008225687,0.852349815393332,1.14136909014007,0.289019274746739
11,0.00130626711888082,0.0010998679635831,0.000923235393991507,8.52363592718653e-07,3.95957925230398e-05,0.00563942100067685,0.00559982520815381
12,0.376041296309072,0.377663121361644,0.0148965323647287,0.00022190667649341,0.342924072126379,0.430690778767755,0.0877667066413756
13,0.927650243478297,0.963137009859977,0.114578869999339,0.0131283174503254,0.37350325936925,0.997829805980601,0.624326546611351
14,0.714412705001573,0.87443693689897,0.305072206914128,0.0930690514314567,0.0735702624588897,0.997487248908252,0.923916986449362
15,0.000529966835259543,0.000437692760359418,0.000462470572862262,2.13879030763549e-07,6.78424780398476e-06,0.00267318640399825,0.00266640215619426
16,0.000736725110608868,0.000605421295044928,0.00060929401378281,3.71239195231567e-07,1.12595398242611e-05,0.00352433138619778,0.00351307184637352
17,0.00376347691947979,0.00373815157843002,0.000932994491789848,8.70478721710196e-07,0.00161638706182347,0.00667864482281425,0.00506225776099078
18,0.298204316578074,0.286326767701569,0.0882773388112632,0.00779288854759855,0.11010122405363,0.54713437084331,0.437033146789681
19,0.0192199471608358,0.0178689436372497,0.00504482940945378,2.54503037704898e-05,0.0100482158955327,0.0308173311688637,0.020769115273331
20,0.277115279837357,0.263103948010102,0.0899004144210656,0.00808208451307934,0.0771713452047137,0.469486138901292,0.392314793696579
21,0.000260920567483751,0.00019890379414933,0.000229805918976252,5.28107603965199e-08,6.78813019017177e-07,0.00117216132338496,0.00117148251036595
22,0.0630882454666245,0.0625790092766537,0.00370853370095802,1.37532222111414e-05,0.0549252432448942,0.0721014657162279,0.0171762224713338
23,0.000381243390091384,0.000308612221541025,0.000201974322719934,4.07936270381759e-08,9.8018381154088e-05,0.000932420735171802,0.000834402354017714
24,0.000417632523773452,0.000316603395440749,0.000345830306113386,1.19598600626478e-07,1.44061949804895e-05,0.00168813404930451,0.00167372785432402
25,0.00529319732983548,0.00528155215532925,0.0012152742202686,1.47689143044945e-06,0.0024254471717843,0.00964041743134227,0.00721497025955798
26,0.276854359269873,0.263039853733453,0.0899233524273457,0.00808620931177262,0.0765903096568869,0.468706917653567,0.39211660799668
27,0.000762849052449862,0.000645318620264444,0.000474602537743763,2.2524756883282e-07,2.99034039783454e-05,0.00220895473676367,0.00217905133278533
28,0.781937227718216,0.827022282750316,0.208512772078226,0.043477576119746,0.340045921983011,0.997668473985647,0.657622552002636
29,0.000303846941387083,0.000233843565554407,0.000264433343068052,6.99249929261461e-08,4.02678262424029e-06,0.00127270630352179,0.00126867952089755
30,0.000417632523773452,0.000316603395440749,0.000345830306113386,1.19598600626478e-07,1.44061949804895e-05,0.00168813404930451,0.00167372785432402
31,0.00345550617811576,0.00338128922142729,0.000855925444650678,7.32608366800461e-07,0.00158004306694743,0.00608613880556007,0.00450609573861264
32,0.238361412788116,0.242287128864812,0.0998632024723357,0.00997265920803072,0.0772230434260191,0.462069845999595,0.384846802573576
33,0.0155922088788452,0.0154348497369547,0.00609333431557048,3.71287230813087e-05,0.00643529245324447,0.0272295068870704,0.0207942144338259
34,0.204802745684445,0.188754896854122,0.119051205926459,0.0141731896325441,0.0456072192021748,0.42230476316885,0.376697543966676
35,0.000277729087431437,0.000210835381452279,0.000226406031379793,5.12596910451478e-08,4.40320104377889e-07,0.00148153911983581,0.00148109879973143
36,0.0630882454666245,0.0625790092766537,0.00370853370095802,1.37532222111414e-05,0.0549252432448942,0.0721014657162279,0.0171762224713338
37,0.000268520376892637,0.000223146194032036,0.00019586861741519,3.83645152881382e-08,3.55612732506136e-05,0.000727649739584187,0.000692088466333574
38,0.000427892051496715,0.000316153341471652,0.000335216927963543,1.12370388793315e-07,1.67175624579305e-05,0.00210844872223218,0.00209173115977425
39,0.00482007042056845,0.00481878434525804,0.00121388324247669,1.47351252636573e-06,0.00242530337193973,0.00887560137239832,0.00645029800045859
40,0.204525016597013,0.188260746111392,0.119073648307178,0.0141785337211815,0.0452225123862687,0.421989333062673,0.376766820676405
41,0.000678557700105419,0.00062111555848101,0.000414799196982319,1.72058373817176e-07,7.59882162293051e-06,0.00260077310522235,0.00259317428359942
42,0.000316157996179503,0.000241858038781075,0.000257130132246511,6.61159049091083e-08,3.97938249050118e-06,0.00160872248296732,0.00160474310047682
43,0.000427892051496715,0.000316153341471652,0.000335216927963543,1.12370388793315e-07,1.67175624579305e-05,0.00210844872223218,0.00209173115977425
