Feature,Mean,Median,StandardDeviation,Variance,Minimum,Maximum,Range
1,0.00802578943577264,0.00779918390764011,0.00147720807694682,2.18214370259692e-06,0.00563529825651868,0.014629041929923,0.00899374367340434
2,0.12008859974105,0.148251678405155,0.241833447311788,0.0584834162387032,-0.886441450290195,0.810786918133258,1.69722836842345
3,0.0656073684666872,0.065022919996972,0.00539988458717709,2.91587535548327e-05,0.05558418066885,0.082868440584203,0.027284259915353
4,1.03152847345418,1.02863275096657,0.0879843267830288,0.0077412417594628,0.821124377531072,1.32095102140167,0.499826643870599
5,0.000399538822513962,0.000303754638012133,0.000377464003851052,1.42479074203267e-07,8.35025996015482e-07,0.0027935559672646,0.00279272094126859
6,0.0652277440183347,0.0646226471051868,0.0053823476278526,2.89696659870505e-05,0.0548873390585491,0.0827147904010354,0.0278274513424863
7,0.00428354778441404,0.0041760865829066,0.000726099259219769,5.27220134239497e-07,0.00301261998892813,0.00684173655108721,0.00382911656215908
8,0.000649117849368505,0.000488002477427787,0.000579487074560701,3.3580526958292e-07,6.96613264486071e-06,0.00403658359233773,0.00402961745969287
9,0.0120238466004476,0.0119060025553794,0.00171993513048514,2.95817685307692e-06,0.00929462138463742,0.0183730225524905,0.00907840116785313
10,1.03112893463166,1.02809123476608,0.0880010126956751,0.00774417823546437,0.820953942774381,1.32092472393215,0.499970781157767
11,0.00119413610753068,0.00108076929491621,0.000749515810583951,5.61773950315317e-07,5.00253674157658e-05,0.00538794593890238,0.00533792057148661
12,0.388586580833303,0.384679231185209,0.0306905985960258,0.000941912842182381,0.346407849445392,0.509706755134961,0.163298905689569
13,0.9096789175334,0.955567361683824,0.115328938695133,0.0133007641005457,0.516591808176266,0.99692435839529,0.480332550219024
14,0.668065675625453,0.82427456065719,0.319210121678603,0.101895101782069,0.0990900554781094,0.997758953525121,0.898668898047011
15,0.000466504192372471,0.0003504118122476,0.00044538907700485,1.98371429915232e-07,3.00824265590783e-06,0.00303425729587499,0.00303124905321908
16,0.000649117849368505,0.000488002477427787,0.000579487074560701,3.3580526958292e-07,6.96613264486071e-06,0.00403658359233773,0.00402961745969287
17,0.0041893328258263,0.00388485623865491,0.00156942624086592,2.46309872551852e-06,0.00194479139814636,0.0112600756093717,0.0093152842112253
18,0.352854116984272,0.315238607540311,0.166454698187225,0.0277071665486003,0.0850818107385214,1.02945542921362,0.944373618475101
19,0.0205784554869598,0.0186016421505299,0.0060840808221802,3.70160394508209e-05,0.0073564250296694,0.0361305023006268,0.0287740772709574
20,0.282462815928469,0.258096210851993,0.085997345900349,0.00739554350190426,0.0910808394301227,0.457989456801832,0.36690861737171
21,0.000278156886634997,0.00020365293623463,0.000269007691024408,7.23651378302831e-08,1.07771827944588e-07,0.00194971254464037,0.00194960477281242
22,0.0652277440183347,0.0646226471051868,0.0053823476278526,2.89696659870505e-05,0.0548873390585491,0.0827147904010354,0.0278274513424863
23,0.000442106258610335,0.000329340227203432,0.000253725250409694,6.43765026954622e-08,5.01608654457245e-05,0.00126095958152458,0.00121079871607885
24,0.000431399187238373,0.000320673318652077,0.000387761854043055,1.50359255450908e-07,5.0550435021694e-06,0.00277485039743799,0.00276979535393582
25,0.00596464541506463,0.0055566185190629,0.00211301371353016,4.4648269535665e-06,0.002951227305807,0.0153686525730275,0.0124174252672205
26,0.282184659041834,0.25777038086462,0.0860007386214097,0.00739612704342803,0.0910262802174074,0.457900033491396,0.366873753273989
27,0.000784947997489656,0.000662455943793841,0.000557826592573305,3.11170507381944e-07,3.04618385749168e-05,0.00402614101646108,0.00399567917788616
28,0.759348246746907,0.834014146419822,0.211402038820899,0.0446908220176329,0.288562866096675,0.996300373688055,0.707737507591379
29,0.000314022984453705,0.000236074962717857,0.000294297162888626,8.66108200842947e-08,9.82487010021508e-07,0.0021173222798682,0.00211633979285817
30,0.000431399187238373,0.000320673318652077,0.000387761854043055,1.50359255450908e-07,5.0550435021694e-06,0.00277485039743799,0.00276979535393582
31,0.00351001949514577,0.00346500266808374,0.00100007534379922,1.00015069327513e-06,0.00135455891361927,0.00823100030762203,0.00687644139400276
32,0.238250266258276,0.232237258899603,0.10838455638721,0.0117472120632523,0.0772230434260191,0.767792613628651,0.690569570202632
