FeatureCount,Repeat,Accuracy,MacroPrecision,MacroRecall,MacroF1,MacroSpecificity,MeanFAR,MeanFRR,MeanEER,MeanAUC,TrainingSamples,InputFeatures
20,1,0.9375,0.949116161616162,0.9375,0.938209125755565,0.993055555555555,0.00694444444444444,0.0625,0.0173611111111111,0.996006944444444,280,20
40,1,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1,280,40
60,1,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.00208333333333333,0.999479166666667,280,60
80,1,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.00138888888888889,0.999652777777778,280,80
100,1,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1,280,100
131,1,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.000694444444444444,0.999826388888889,280,131
20,2,0.95,0.954166666666667,0.95,0.949852941176471,0.994444444444444,0.00555555555555555,0.05,0.000694444444444444,0.999826388888889,280,20
40,2,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.000694444444444444,0.999826388888889,280,40
60,2,1,1,1,1,1,0,0,0,1,280,60
80,2,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.0118055555555556,0.9984375,280,80
100,2,0.975,0.98,0.975,0.975555555555556,0.997222222222222,0.00277777777777778,0.025,0,1,280,100
131,2,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.000694444444444444,0.999826388888889,280,131
20,3,0.9625,0.968888888888889,0.9625,0.962054154995331,0.995833333333333,0.00416666666666667,0.0375,0.0159722222222222,0.9953125,280,20
40,3,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0.000694444444444444,0.999652777777778,280,40
60,3,0.975,0.976388888888889,0.975,0.974950980392157,0.997222222222222,0.00277777777777778,0.025,0.00277777777777778,0.999131944444444,280,60
80,3,1,1,1,1,1,0,0,0,1,280,80
100,3,0.975,0.976388888888889,0.975,0.974950980392157,0.997222222222222,0.00277777777777778,0.025,0.000694444444444444,0.999826388888889,280,100
131,3,0.975,0.977777777777778,0.975,0.974901960784314,0.997222222222222,0.00277777777777778,0.025,0,1,280,131
20,4,0.975,0.975,0.975,0.975,0.997222222222222,0.00277777777777778,0.025,0.00138888888888889,0.999479166666666,280,20
40,4,0.9625,0.965277777777778,0.9625,0.962401960784314,0.995833333333333,0.00416666666666667,0.0375,0.000694444444444444,0.999826388888889,280,40
60,4,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.00138888888888889,0.999479166666667,280,60
80,4,1,1,1,1,1,0,0,0,1,280,80
100,4,1,1,1,1,1,0,0,0,1,280,100
131,4,1,1,1,1,1,0,0,0,1,280,131
20,5,1,1,1,1,1,0,0,0,1,280,20
40,5,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0,1,280,40
60,5,0.975,0.976388888888889,0.975,0.974950980392157,0.997222222222222,0.00277777777777778,0.025,0.0256944444444444,0.989930555555556,280,60
80,5,0.9875,0.988888888888889,0.9875,0.987450980392157,0.998611111111111,0.00138888888888889,0.0125,0.00208333333333333,0.999479166666667,280,80
100,5,0.975,0.976388888888889,0.975,0.974950980392157,0.997222222222222,0.00277777777777778,0.025,0.000694444444444444,0.999826388888889,280,100
131,5,1,1,1,1,1,0,0,0,1,280,131
