Model,Repeat,FeatureCount,Architecture,Accuracy,MacroPrecision,MacroRecall,MacroF1,MacroSpecificity,MeanFAR,MeanFRR,MeanEER
Baseline,1,131,24,0.886111111111111,0.931287870745844,0.886111111111111,0.859594217815654,0.987345679012346,0.0126543209876543,0.113888888888889,0.0140432098765432
Optimized,1,80,48-24,0.894444444444444,0.945908408408408,0.894444444444444,0.866033455798071,0.988271604938272,0.0117283950617284,0.105555555555556,0.0140432098765432
Baseline,2,131,24,0.908333333333333,0.936914155534845,0.908333333333333,0.899888139148835,0.989814814814815,0.0101851851851852,0.0916666666666667,0.0149691358024691
Optimized,2,80,48-24,0.902777777777778,0.943407043407043,0.902777777777778,0.881148626921345,0.989197530864198,0.0108024691358025,0.0972222222222222,0.0117283950617284
Baseline,3,131,24,0.952777777777778,0.958589948833851,0.952777777777778,0.95285829097907,0.994753086419753,0.00524691358024691,0.0472222222222222,0.00802469135802469
Optimized,3,80,48-24,0.952777777777778,0.963320463320463,0.952777777777778,0.951288519692441,0.994753086419753,0.00524691358024691,0.0472222222222222,0.00308641975308642
Baseline,4,131,24,0.886111111111111,0.925369510350255,0.886111111111111,0.8577928521164,0.987345679012346,0.0126543209876543,0.113888888888889,0.0141975308641975
Optimized,4,80,48-24,0.872222222222222,0.870219933892703,0.872222222222222,0.842974135814712,0.985802469135802,0.0141975308641975,0.127777777777778,0.0395061728395062
Baseline,5,131,24,0.961111111111111,0.963405478649381,0.961111111111111,0.961230804112628,0.995679012345679,0.00432098765432099,0.0388888888888889,0.00864197530864198
Optimized,5,80,48-24,0.886111111111111,0.900592697961119,0.886111111111111,0.860414963604236,0.987345679012346,0.0126543209876543,0.113888888888889,0.00895061728395062
Baseline,6,131,24,0.9,0.920540758676352,0.9,0.88498361287835,0.988888888888889,0.0111111111111111,0.1,0.0141975308641975
Optimized,6,80,48-24,0.894444444444444,0.934199584199584,0.894444444444444,0.873073509550453,0.988271604938272,0.0117283950617284,0.105555555555556,0.0141975308641975
Baseline,7,131,24,0.880555555555556,0.929458296172787,0.880555555555556,0.852075177847896,0.986728395061728,0.0132716049382716,0.119444444444444,0.012962962962963
Optimized,7,80,48-24,0.894444444444444,0.932853001027343,0.894444444444444,0.872219947932277,0.988271604938271,0.0117283950617284,0.105555555555556,0.016358024691358
Baseline,8,131,24,0.883333333333333,0.880809246053148,0.883333333333333,0.854550207240519,0.987037037037037,0.012962962962963,0.116666666666667,0.0200617283950617
Optimized,8,80,48-24,0.955555555555556,0.960206606259238,0.955555555555556,0.955666607870833,0.995061728395062,0.00493827160493827,0.0444444444444444,0.00910493827160494
Baseline,9,131,24,0.880555555555556,0.92405032212445,0.880555555555556,0.860498464342497,0.986728395061728,0.0132716049382716,0.119444444444444,0.0171296296296296
Optimized,9,80,48-24,0.891666666666667,0.93846455150803,0.891666666666667,0.861870956704065,0.987962962962963,0.012037037037037,0.108333333333333,0.0108024691358025
Baseline,10,131,24,0.927777777777778,0.941413150955834,0.927777777777778,0.922773089855634,0.991975308641975,0.00802469135802469,0.0722222222222222,0.0111111111111111
Optimized,10,80,48-24,0.9,0.939516789516789,0.9,0.870934588687674,0.988888888888889,0.0111111111111111,0.1,0.00925925925925926
