Repeat,Rank,Feature,MRMRScore
1,1,40,1.42993718273754
1,2,106,0.780126652150787
1,3,42,0.756331955328086
1,4,90,0.040472875460887
1,5,102,4.50804298115482e-14
1,6,96,3.00826751061001e-14
1,7,62,2.49057139014562e-14
1,8,74,2.40660487902382e-14
1,9,32,2.35677099215005e-14
1,10,127,2.35677099215005e-14
1,11,94,2.28017986455122e-14
1,12,69,1.56488345893588e-14
1,13,60,1.55556549730376e-14
1,14,34,1.44413877026725e-14
1,15,88,1.42938912319141e-14
1,16,58,1.22706872820613e-14
1,17,15,1.21418017202103e-14
1,18,78,1.18243415990693e-14
1,19,45,1.14550310783727e-14
1,20,11,1.10551535442257e-14
1,21,44,1.09385907946519e-14
1,22,107,1.08398422629987e-14
1,23,22,1.08064468889207e-14
1,24,26,1.04660696184095e-14
1,25,27,9.27636848659555e-15
1,26,3,9.15148702813213e-15
1,27,13,9.15148702813213e-15
1,28,30,8.22388563330081e-15
1,29,10,7.95650382245686e-15
1,30,67,7.91150875623283e-15
1,31,17,7.78751163599206e-15
1,32,61,7.37339761178439e-15
1,33,49,7.22835574051139e-15
1,34,68,6.95686533551338e-15
1,35,2,6.94641030510252e-15
1,36,99,6.84622135052273e-15
1,37,1,6.49376317805372e-15
1,38,24,6.18957629951339e-15
1,39,41,6.06973999712831e-15
1,40,72,5.98862527173806e-15
1,41,77,5.88353342042445e-15
1,42,12,5.85378521799884e-15
1,43,35,5.42335236987841e-15
1,44,28,5.3974852721254e-15
1,45,51,5.18783550416084e-15
1,46,76,5.00277989298482e-15
1,47,81,4.99794666454888e-15
1,48,21,4.93798389506344e-15
1,49,16,4.93798389506344e-15
1,50,33,4.93798389506344e-15
1,51,75,4.82889463566922e-15
1,52,20,4.79252947867651e-15
1,53,80,4.70397332141921e-15
1,54,53,4.62602269226017e-15
1,55,66,4.61778149504087e-15
1,56,7,4.48307261696068e-15
1,57,46,4.2996962778811e-15
1,58,105,4.26506704732327e-15
1,59,18,4.20883762547271e-15
1,60,128,4.0728964381829e-15
1,61,31,3.82138261221423e-15
1,62,5,3.80402030388678e-15
1,63,98,3.69861724305689e-15
1,64,4,3.6181139432492e-15
1,65,63,3.60299833613277e-15
1,66,19,3.56814390031493e-15
1,67,14,3.46455205761549e-15
1,68,47,3.38534246911493e-15
1,69,122,3.35625636037079e-15
1,70,48,3.2541280809082e-15
1,71,25,3.20959518228e-15
1,72,50,3.13609530915439e-15
1,73,39,3.11733822139933e-15
1,74,97,3.11733822139933e-15
1,75,116,3.11547412233188e-15
1,76,36,3.09501057561581e-15
1,77,59,3.0803078212205e-15
1,78,8,2.95052119000524e-15
1,79,101,2.93090551731958e-15
1,80,9,2.92375533743328e-15
1,81,113,2.91873384975034e-15
1,82,93,2.82557740892261e-15
1,83,55,2.81283686535222e-15
1,84,123,2.81283686535222e-15
1,85,6,2.6760574007053e-15
1,86,95,2.62832074875829e-15
1,87,82,2.60713915874547e-15
1,88,130,2.57957957025849e-15
1,89,23,2.57381519100993e-15
1,90,52,2.50878611977012e-15
1,91,115,2.50355688900459e-15
1,92,86,2.39420366242253e-15
1,93,29,2.39104410310496e-15
1,94,124,2.34094580076752e-15
1,95,37,2.33676122575511e-15
1,96,38,2.31787115799637e-15
1,97,79,2.31434530289929e-15
1,98,85,2.31434530289929e-15
1,99,83,2.31434530289929e-15
1,100,129,2.30368819121956e-15
1,101,100,2.221334026034e-15
1,102,43,2.18365808068738e-15
1,103,64,2.18248769123625e-15
1,104,71,2.1557890922379e-15
1,105,103,2.1557890922379e-15
1,106,126,2.14091642895538e-15
1,107,89,2.12212759643308e-15
1,108,117,2.1176410484457e-15
1,109,108,2.04111844898158e-15
1,110,56,2.00125325895003e-15
1,111,104,1.8062537703303e-15
1,112,118,1.74451291497277e-15
1,113,70,1.70483736876272e-15
1,114,114,1.60315452691919e-15
1,115,109,1.30240813936176e-15
1,116,73,1.19942868365689e-15
1,117,125,1.15658335905721e-15
1,118,65,9.67113302946716e-16
1,119,119,9.67113302946716e-16
1,120,54,6.56828839046306e-16
1,121,57,5.56062374796899e-16
1,122,84,1.53985712138081e-28
1,123,87,1.48848753853009e-28
1,124,91,1.48848753853009e-28
1,125,92,1.11274834088184e-28
1,126,110,0
1,127,111,0
1,128,112,0
1,129,120,0
1,130,121,0
1,131,131,0
2,1,40,1.40895549958241
2,2,107,0.488159810601799
2,3,62,0.475503867117093
2,4,42,0.114039048366541
2,5,87,0.00547139245621214
2,6,102,0.00547139245621214
2,7,30,0.00343615626451432
2,8,75,0.00316851354894593
2,9,34,0.00304784817188938
2,10,60,0.00303008149882645
2,11,88,0.00297155979851173
2,12,26,0.00258798361518835
2,13,12,0.00256880670208169
2,14,13,0.00223390181878296
2,15,76,0.00213597754455169
2,16,32,0.00200221534777598
2,17,127,0.00200221534777598
2,18,96,0.00190574025240337
2,19,74,0.00171599779409381
2,20,45,0.00161460691510607
2,21,49,0.00161077051180656
2,22,15,0.00155585817597493
2,23,5,0.00155300265690631
2,24,10,0.00155300265690631
2,25,72,0.00152901941563949
2,26,17,0.00152549284139616
2,27,22,0.00152373284533389
2,28,39,0.00137069795981816
2,29,77,0.00137069795981816
2,30,27,0.00137053329789585
2,31,51,0.00128109570337357
2,32,58,0.00120721869213737
2,33,67,0.00113815141919441
2,34,99,0.00111398397951033
2,35,11,0.00111381815646018
2,36,44,0.00109810897071554
2,37,28,0.00109471917382762
2,38,1,0.00107184626826393
2,39,68,0.00106991348478439
2,40,24,0.00105823969683682
2,41,2,0.00102756504418657
2,42,23,0.00102093736991904
2,43,80,0.00102093736991904
2,44,7,0.00101571543086504
2,45,81,0.000995399079466516
2,46,18,0.000923526767295631
2,47,78,0.000922476530900034
2,48,53,0.000911030828286281
2,49,105,0.000911030828286281
2,50,69,0.000887649339115877
2,51,33,0.000886341560747928
2,52,35,0.000884968198223546
2,53,66,0.000882174420944471
2,54,94,0.000882098073585852
2,55,4,0.000876335247816576
2,56,20,0.000864805325479091
2,57,46,0.000826701047269671
2,58,61,0.000825693031443079
2,59,8,0.000822599949767143
2,60,14,0.000821418338398148
2,61,48,0.000779334717468531
2,62,19,0.00077234143004342
2,63,36,0.00074508864944187
2,64,41,0.000741246206653848
2,65,3,0.00073280109398605
2,66,128,0.000727425210489036
2,67,98,0.000720750458086156
2,68,6,0.000716741924255276
2,69,63,0.000716741924255276
2,70,122,0.000714829335362827
2,71,47,0.000687517848278041
2,72,106,0.000651187901222677
2,73,21,0.000647808352871905
2,74,57,0.000643811723086368
2,75,93,0.000643811723086368
2,76,97,0.000643115916439835
2,77,59,0.00061703799805132
2,78,123,0.000613289394695384
2,79,116,0.000611066502574494
2,80,113,0.000606703320958186
2,81,130,0.000599724841344686
2,82,50,0.000598810833790184
2,83,101,0.000585702061044526
2,84,52,0.000579361116018145
2,85,31,0.000577319618039932
2,86,29,0.000560642401128483
2,87,16,0.000553783554380655
2,88,100,0.000540460548384445
2,89,95,0.000531927956143534
2,90,9,0.00052749255630761
2,91,86,0.000524589393327822
2,92,37,0.000511328635753835
2,93,25,0.000502477052332945
2,94,38,0.000498306450855865
2,95,71,0.000485566774952412
2,96,115,0.000485566774952412
2,97,126,0.000475762163226291
2,98,82,0.000475509967639776
2,99,124,0.000467897419783374
2,100,108,0.000466235654177399
2,101,55,0.000438592698137053
2,102,43,0.000438592698137053
2,103,73,0.000432797102553271
2,104,103,0.000432797102553271
2,105,89,0.000418979737381042
2,106,129,0.000418872610099352
2,107,117,0.000415915621261785
2,108,104,0.00041231593561027
2,109,56,0.00041153471603158
2,110,119,0.00041153471603158
2,111,83,0.000404817252790197
2,112,85,0.000391916858457778
2,113,114,0.000367519044352517
2,114,118,0.000350339089609172
2,115,125,0.000335143482332522
2,116,64,0.000285826602678178
2,117,70,0.000268191533896041
2,118,109,0.000266623324831629
2,119,79,0.000223568122063281
2,120,65,0.000177842695697145
2,121,54,0.000139923005787771
2,122,84,9.64097339776143e-05
2,123,91,8.32580532901513e-05
2,124,92,6.48871200806278e-05
2,125,90,4.06758869847438e-17
2,126,110,0
2,127,111,0
2,128,112,0
2,129,120,0
2,130,121,0
2,131,131,0
3,1,40,1.44433340756357
3,2,106,0.685603808825675
3,3,62,0.665031048766817
3,4,42,0.166877038303325
3,5,90,0.025864131676477
3,6,96,8.44569975579803e-15
3,7,32,7.35005891822555e-15
3,8,26,7.35005891822555e-15
3,9,75,6.8302813543626e-15
3,10,60,5.5004031466144e-15
3,11,45,5.24242788105226e-15
3,12,81,4.93543124876804e-15
3,13,107,4.90962042380121e-15
3,14,34,4.74931462393228e-15
3,15,74,4.58925379723636e-15
3,16,105,3.67219796115614e-15
3,17,49,3.628685252868e-15
3,18,79,3.39523055285494e-15
3,19,22,3.39523055285494e-15
3,20,94,3.35054342205703e-15
3,21,44,2.97941541970254e-15
3,22,17,2.97859715289279e-15
3,23,67,2.92507129300951e-15
3,24,13,2.86679340402089e-15
3,25,30,2.61117095990993e-15
