Feature,TimesSelected,SelectionRate
1,5,1
2,5,1
3,5,1
4,5,1
5,5,1
7,5,1
8,5,1
10,5,1
11,5,1
12,5,1
13,5,1
14,5,1
15,5,1
17,5,1
18,5,1
19,5,1
20,5,1
21,5,1
22,5,1
24,5,1
26,5,1
27,5,1
28,5,1
30,5,1
32,5,1
33,5,1
34,5,1
35,5,1
36,5,1
40,5,1
41,5,1
42,5,1
44,5,1
45,5,1
46,5,1
47,5,1
48,5,1
49,5,1
51,5,1
58,5,1
59,5,1
60,5,1
61,5,1
62,5,1
63,5,1
66,5,1
67,5,1
68,5,1
69,5,1
72,5,1
74,5,1
75,5,1
76,5,1
77,5,1
80,5,1
81,5,1
88,5,1
94,5,1
96,5,1
97,5,1
98,5,1
99,5,1
106,5,1
107,5,1
116,5,1
122,5,1
127,5,1
128,5,1
6,4,0.8
31,4,0.8
39,4,0.8
50,4,0.8
53,4,0.8
93,4,0.8
101,4,0.8
105,4,0.8
25,3,0.6
123,3,0.6
23,2,0.4
78,2,0.4
90,2,0.4
102,2,0.4
113,2,0.4
9,1,0.2
16,1,0.2
37,1,0.2
38,1,0.2
56,1,0.2
57,1,0.2
70,1,0.2
73,1,0.2
79,1,0.2
87,1,0.2
91,1,0.2
92,1,0.2
29,0,0
43,0,0
52,0,0
54,0,0
55,0,0
64,0,0
65,0,0
71,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
89,0,0
95,0,0
100,0,0
103,0,0
104,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
114,0,0
115,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
124,0,0
125,0,0
126,0,0
129,0,0
130,0,0
131,0,0
