PC,ExplainedVariance,CumulativeVariance
1,25.6654438942497,25.6654438942497
2,17.3672454134893,43.032689307739
3,14.8169657895911,57.8496550973301
4,7.99611375997726,65.8457688573074
5,5.62866951424948,71.4744383715569
6,3.80979337017571,75.2842317417326
7,3.22600781097473,78.5102395527073
8,2.48501460524088,80.9952541579482
9,2.20361128973066,83.1988654476789
10,1.7667154149066,84.9655808625855
11,1.43958852972729,86.4051693923127
12,1.22407690271374,87.6292462950265
13,1.06229678969041,88.6915430847169
14,1.01704484852342,89.7085879332403
15,0.910224299407752,90.6188122326481
16,0.840862164860862,91.4596743975089
17,0.774658860167402,92.2343332576763
18,0.687508253012521,92.9218415106889
19,0.586809474513337,93.5086509852022
20,0.48825276491764,93.9969037501198
21,0.467516514997201,94.464420265117
22,0.426787964121245,94.8912082292383
23,0.405608590158645,95.2968168193969
24,0.3662421795465,95.6630589989434
25,0.332025601504062,95.9950846004475
26,0.312401934663778,96.3074865351113
27,0.281993965329486,96.5894805004408
28,0.265976799514852,96.8554572999556
29,0.234223759910189,97.0896810598658
30,0.20826938789326,97.297950447759
31,0.204274018655369,97.5022244664144
32,0.200015019165617,97.70223948558
33,0.177579750637498,97.8798192362175
34,0.169396991572862,98.0492162277904
35,0.154837669145592,98.204053896936
36,0.149193487093563,98.3532473840296
37,0.133017410458766,98.4862647944883
38,0.12999774970835,98.6162625441967
39,0.114409873028645,98.7306724172253
40,0.107184144010364,98.8378565612357
41,0.103883894040522,98.9417404552762
42,0.0954136272032755,99.0371540824795
43,0.0863502913351446,99.1235043738146
44,0.0795400580600603,99.2030444318747
45,0.0708725833660643,99.2739170152408
46,0.0615273982991952,99.3354444135399
47,0.0571801483350148,99.392624561875
48,0.0539332888887719,99.4465578507637
49,0.047188273106385,99.4937461238701
50,0.0449617224356918,99.5387078463058
51,0.0435472075723403,99.5822550538782
52,0.0410995029120383,99.6233545567902
53,0.0366152983460278,99.6599698551362
54,0.0350495759419915,99.6950194310782
55,0.0315554358691032,99.7265748669473
56,0.0288506648464094,99.7554255317937
57,0.0255180561391984,99.7809435879329
58,0.0223027507292843,99.8032463386622
59,0.0212213542326172,99.8244676928948
60,0.0203262887269518,99.8447939816218
61,0.0167330769804994,99.8615270586023
62,0.0142124818715493,99.8757395404738
63,0.01320707120258,99.8889466116764
64,0.0119491437963099,99.9008957554727
65,0.0109448640973058,99.9118406195701
66,0.0103496791687579,99.9221902987388
67,0.00949675881900604,99.9316870575578
68,0.00879558171961741,99.9404826392774
69,0.00731515403961504,99.9477977933171
70,0.00553872007285726,99.9533365133899
71,0.0047704843373524,99.9581069977273
72,0.00452247002585981,99.9626294677531
73,0.00366775842629808,99.9662972261794
74,0.00352099641638753,99.9698182225958
75,0.00334425038913394,99.973162472985
76,0.00274771155194243,99.9759101845369
77,0.00263132527447941,99.9785415098114
78,0.0024847881746247,99.981026297986
79,0.00223601048965363,99.9832623084757
80,0.00207376368970869,99.9853360721654
81,0.00179859635231308,99.9871346685177
82,0.00158779477508168,99.9887224632928
83,0.00143685499552223,99.9901593182883
84,0.00127921744896402,99.9914385357372
85,0.00102628600592955,99.9924648217432
86,0.000958406577334327,99.9934232283205
87,0.000928201622395939,99.9943514299429
88,0.000695055690996111,99.9950464856339
89,0.000645637624142733,99.9956921232581
90,0.000586621587318954,99.9962787448454
91,0.000515885922564169,99.9967946307679
92,0.000464369824966321,99.9972590005929
93,0.000437917940071309,99.997696918533
94,0.000372997842619695,99.9980699163756
95,0.000335104296644469,99.9984050206722
96,0.000309958755159693,99.9987149794274
97,0.000286013540490201,99.9990009929679
98,0.000235571942783979,99.9992365649107
99,0.000197026866551902,99.9994335917772
100,0.000157028495527612,99.9995906202727
101,0.000115981229656732,99.9997066015024
102,0.000103363075062162,99.9998099645775
103,7.13774895057235e-05,99.999881342067
104,6.14432893835063e-05,99.9999427853563
105,2.71739986426299e-05,99.999969959355
106,2.42043019153097e-05,99.9999941636569
107,3.93872391080999e-06,99.9999981023808
108,1.89761924339895e-06,100
109,1.9574443740736e-31,100
110,1.9574443740736e-31,100
111,1.9574443740736e-31,100
112,1.9574443740736e-31,100
113,1.9574443740736e-31,100
114,1.9574443740736e-31,100
115,1.9574443740736e-31,100
116,1.9574443740736e-31,100
117,1.9574443740736e-31,100
118,1.9574443740736e-31,100
119,1.9574443740736e-31,100
120,1.9574443740736e-31,100
121,1.9574443740736e-31,100
122,1.9574443740736e-31,100
123,1.9574443740736e-31,100
124,1.9574443740736e-31,100
125,1.9574443740736e-31,100
126,1.9574443740736e-31,100
127,1.9574443740736e-31,100
128,1.9574443740736e-31,100
129,1.9574443740736e-31,100
130,1.9574443740736e-31,100
131,2.95591426530601e-32,100
