Rank,Feature,MRMRScore
1,40,1.52050854986151
2,75,1.00298286926508
3,33,0.835426056797777
4,57,0.0560233895946237
5,90,0.0208460934225159
6,15,0.0198807333434118
7,96,0.0155598932436713
8,88,0.00789316313420491
9,62,0.0075973154007577
10,13,0.0052741783614696
11,42,0.00523535663762198
12,76,0.00493190229080149
13,34,0.00487688187472613
14,26,0.00463807364948742
15,107,0.00455235268293369
16,127,0.00437954447200365
17,30,0.00381101937573949
18,22,0.00368509523966288
19,17,0.0036392197268499
20,74,0.00346651379283887
21,44,0.00343512179839182
22,7,0.0034271523268613
23,72,0.00332077739833986
24,45,0.00323179093837128
25,11,0.00320531781516809
26,58,0.00318469755911899
27,32,0.00317338937572946
28,49,0.00317338937572946
29,67,0.00297079338899383
30,51,0.00285964639666052
31,99,0.0027782432730981
32,23,0.00277639025325436
33,12,0.00277639025325436
34,10,0.00276852424238538
35,81,0.00270392676416562
36,61,0.00253731737562291
37,68,0.00245617272964673
38,77,0.00241775522947518
39,1,0.00240547823920228
40,27,0.00234386427310691
41,24,0.00226745383285151
42,78,0.00221058515660524
43,5,0.00220679103260068
44,41,0.00220679103260068
45,59,0.00213738846961274
46,66,0.00210829656187903
47,105,0.00207679551164499
48,18,0.00204181938404515
49,20,0.0020049262289379
50,69,0.0019636650137531
51,80,0.00194365908753818
52,4,0.00189550508337856
53,98,0.00189343713787154
54,46,0.00189250702540552
55,2,0.00189088470280623
56,48,0.00184836762522086
57,19,0.00183950141931625
58,47,0.00180859827000809
59,106,0.00177781047416625
60,128,0.00170941722671481
61,122,0.00166480057911613
62,28,0.00163548401323138
63,50,0.00163192501277524
64,14,0.0016220214967475
65,94,0.00160764827918864
66,63,0.00159920900474551
67,6,0.00157340396260084
68,97,0.00157340396260084
69,25,0.00156020572556743
70,3,0.00152672637482252
71,93,0.00152284739393381
72,31,0.00151338466985925
73,36,0.00150084046994235
74,53,0.00149413491915541
75,60,0.00148856246995489
76,130,0.00148656907326448
77,39,0.00146148253889092
78,101,0.00146148253889092
79,35,0.00145410898888801
80,123,0.00144676126864286
