Rank,Feature,InterIntraRatio,InterUserVariance,MeanIntraUserVariance
1,34,34.0208233615454,0.0152209408226516,0.000447400718697733
2,40,33.9106819813066,0.0152251580991158,0.000448978233687578
3,20,28.4983418471116,0.00862809599217517,0.000302757824944939
4,26,28.4900450775657,0.00863240764432136,0.000302997331903576
5,33,21.5290511421987,3.91739407413481e-05,1.81958510283733e-06
6,37,19.868058250881,4.03167661034525e-08,2.02922505978004e-09
7,23,17.1570821386786,4.25230060309318e-08,2.47845186480929e-09
8,19,15.6535290008319,2.63791454176816e-05,1.68518839507717e-06
9,14,12.0271044275866,0.0946239050300755,0.00786755495470996
10,13,10.0338704228555,0.0131326393804885,0.00130883087253871
11,32,9.55795671522477,0.00992789504065913,0.00103870475002706
12,3,6.25553647339503,1.32684474777963e-05,2.1210726742364e-06
13,6,5.55979999022244,1.27597427792001e-05,2.2950003238255e-06
14,22,5.55979999022244,1.27597427792001e-05,2.2950003238255e-06
15,36,5.55979999022244,1.27597427792001e-05,2.2950003238255e-06
