Rank,Feature,InterIntraRatio,InterUserVariance,MeanIntraUserVariance
1,34,22.4263024502874,0.0143278577787312,0.000638886317104079
2,40,22.4145819194935,0.0143350651000684,0.000639541935314731
3,13,19.3664575180729,0.0139589546977596,0.000720779971490847
4,14,17.9536351712647,0.106494644252729,0.00593164800536732
5,20,17.6513097145795,0.00772187203034961,0.000437467369572449
6,26,17.5943730889915,0.00772104039054653,0.000438835777295955
7,19,14.3778884135121,3.81484934411374e-05,2.65327510833188e-06
8,33,13.8134253710073,3.78038335870511e-05,2.73674577945957e-06
9,23,12.291444479403,6.55682206654796e-08,5.33445992015867e-09
10,12,9.57988801814026,0.000937902918394859,9.79033279529718e-05
11,3,8.94342848357455,2.88267338236761e-05,3.22323076375389e-06
12,18,8.6282489924987,0.0272842657693005,0.00316220194769752
13,28,8.58629266321129,0.0439847811246571,0.00512267434268945
14,6,8.16852568439659,2.83499634801709e-05,3.47063406221649e-06
15,22,8.16852568439659,2.83499634801709e-05,3.47063406221649e-06
