Rank,Feature,InterIntraRatio,InterUserVariance,MeanIntraUserVariance
1,22,221.505860791925,0.0809122399296318,0.000365282614375557
2,24,157.110486257916,0.0787744246630072,0.000501395078961531
3,32,157.110486257916,0.0787744246630072,0.000501395078961531
4,75,100.500673701374,5678.72675754458,56.5043650793651
5,31,75.1500741285933,0.0871439460216376,0.00115959893628986
6,46,59.6947700320167,0.0304510811143986,0.000510113048396923
7,33,56.9283528984879,0.108350031964377,0.00190327010088575
8,83,51.287265787433,4553.43406207133,88.7829365079365
9,40,39.8876946635042,0.026777646822422,0.000671326007890692
10,47,39.8876946635042,0.026777646822422,0.000671326007890692
11,38,35.7879734776283,0.023997325626426,0.000670541617602887
12,73,30.200045400023,8627.60889060357,285.681984126984
13,74,28.3262334670653,1716.32020747599,60.5911904761905
14,19,22.8780349202408,0.110276850619869,0.00482020641214685
15,20,22.4305857584619,0.128588024462976,0.00573270916094831
