Repeat,User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,AUC
1,U01,1,1,1,1,1,0,0,0,1
1,U02,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
1,U03,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
1,U04,0.919753086419753,0.583333333333333,0.972222222222222,0.913194444444444,0.729166666666667,0.0868055555555556,0.0277777777777778,0.0277777777777778,0.996045524691358
1,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0.00173611111111111,0.999807098765432
1,U06,1,1,1,1,1,0,0,0,1
1,U08,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
1,U09,0.966049382716049,0.777777777777778,0.972222222222222,0.965277777777778,0.864197530864197,0.0347222222222222,0.0277777777777778,0.0277777777777778,0.997974537037037
1,U10,0.891975308641975,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.0277777777777778,0.996141975308642
2,U01,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
2,U02,1,1,1,1,1,0,0,0,1
2,U03,1,1,1,1,1,0,0,0,1
2,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0277777777777778,0.998939043209876
2,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0.00173611111111111,0.999903549382716
2,U06,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
2,U08,1,1,1,1,1,0,0,0,1
2,U09,0.891975308641975,0.507042253521127,1,0.878472222222222,0.672897196261682,0.121527777777778,0,0.00347222222222222,0.999807098765432
2,U10,0.891975308641975,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.0243055555555556,0.998456790123457
3,U01,1,1,1,1,1,0,0,0,1
3,U02,1,1,1,1,1,0,0,0,1
3,U03,1,1,1,1,1,0,0,0,1
3,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
3,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
3,U06,1,1,1,1,1,0,0,0,1
3,U08,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
3,U09,0.888888888888889,0.5,0.972222222222222,0.878472222222222,0.660377358490566,0.121527777777778,0.0277777777777778,0.0277777777777778,0.996624228395062
3,U10,0.891975308641975,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.0555555555555556,0.981288580246914
